id,number,name,description,numCredits,numCredits,numCredits
8023,V MPM 690A,Current Topics: Immunology,Colloquia or advanced study of specific topics in a specialized field.,,1-3,3-Jan
8024,V MPM 690B,Current Topics: Infectious Diseases,Colloquia or advanced study of specific topics in a specialized field.,,1-3,3-Jan
8025,V MPM 698,"Seminar in Molecular, Cellular, and Developmental Biology",Student and faculty presentations.,,1-2,2-Jan
8026,V MPM 699,Research,,,arr,arr
8027,V PTH 342,Anatomic Pathology I,Basic pathology with emphasis on disease in animals and introduction to diseases by system.,,3,3
8028,V PTH 349,The Genome Perspective in Biology,"Analysis of genome, RNA, and protein data using computer technology to answer biological questions on topics ranging from microbial diversity to human health. An introduction for students in the life sciences to the fields of genomics, bioinformatics and systems.",,2,2
8029,V PTH 353,Introductory Parasitology,"Biology and host-parasite relationships of major groups of animal parasites, and techniques of diagnosing and studying parasites.",,3,3
8030,V PTH 372,Anatomic Pathology II,Response to injury by each body system.,,4,4
8031,V PTH 376,Veterinary Parasitology,Parasitic diseases of domestic animals and their control.,,4,4
8032,V PTH 377,Case Study III,Clinical applications of the basic sciences taught concurrently in the fall semester of the second year curriculum in veterinary medicine.,,2,2
8033,V PTH 401,Basics of Medical Terminology,"8 weeks, offered first half semester only. Discussion of prefixes, suffixes, and roots (mostly from Latin and Greek) that comprise medical terms.",,1,1
8034,V PTH 402,Introduction to Pathology,"Introductory exploration of pathology as a medical discipline. This includes study of disease mechanisms via an introduction to general pathology topics (cell degeneration, necrosis, disturbances of growth, disturbances of blood flow, inflammation, neoplasia) and organ system-specific response to injury.",,3,3
8035,V PTH 409,Introduction to Veterinary Cytology and Laboratory Techniques,"Description, interpretation, and techniques for cellular preparations from tissues and body fluids.",,1,1
8036,V PTH 425,Clinical Pathology,"Principles of clinical hematology, clinical chemistry, and urinalysis in domestic animals.",,4,4
8037,V PTH 456,Necropsy Laboratory Practicum,Practicum in postmortem examination and diagnosis.,,1,1
8038,V PTH 457,Clinical Pathology Laboratory Practicum,"Methodology in clinical chemistry, hematology and cytology; practice in interpretation of laboratory data.",,1,1
8039,V PTH 490,Independent Study,,,arr,arr
8040,V PTH 492,Orientation for International Experience,8 weeks. Predeparture orientation for group study abroad. Cultural considerations for the study abroad experience and a conversational language introduction. Out of class work will be assigned.   Offered on a satisfactory-fail basis only.,,1,1
8041,V PTH 496,International Preceptorship,"International Preceptorships and Study Abroad Group programs. This course will provide opportunities for students to be involved in applied clinical, production, and/or research experience in international locations. The course consists of 40 hour per week experiential learning opportunities.   Offered on a satisfactory-fail basis only.",,2,2
8042,V PTH 503,Principles of Pathology,"Introductory exploration of pathology as a medical discipline. This includes study of disease mechanisms via an introduction to general pathology topics (cell degeneration, necrosis, disturbances of growth, disturbances of blood flow, inflammation, neoplasia) and organ system-specific response to injury.",,3,3
8043,V PTH 530,Teaching and Learning in Veterinary Medical Education,"Study of principles of teaching and learning as they relate to veterinary medical education. These include: theories of learning, analyzing content/learners/context, identifying goals, identifying appropriate instructional strategies (specific to medical education), matching assessment processes to goals and strategies, common curricular approaches and decision-making processes in medical education, and the scholarship of teaching and learning for veterinary medical educators.",,3,3
8044,V PTH 542,Anatomic Pathology I,Basic pathology with emphasis on disease in animals and introduction to diseases by system.,,3,3
8045,V PTH 548,Diagnostic Parasitology Laboratory,Contact hours are (0-3 to 0-9). A laboratory experience in the technical and applied aspects of veterinary parasitology.,,1-3,3-Jan
8046,V PTH 549,Clinical Pathology Laboratory,"Laboratory procedures and clinical interpretations with emphasis on hematology, cytology, and clinical chemistry.   Offered on a satisfactory-fail basis only.",,1,1
