id,number,name,description,prereqs,numCredits,departmentID
5656,"LING 413","Psychology of Language","Introduction to psycholinguistics. Topics may include origin of language, speech perception, language comprehension, reading, bilingualism, brain bases of language, and computational modeling of language processes.","PSYCH 101",3,108
5657,"LING 420","History of the English Language","Comparison of English to other languages by family background and by type.  Analysis of representative Old, Middle, Early Modern   and present-day English texts, including both literary works and non-literary documents.","ENGL 219 or LING 219, ENGL 220 or LING 220",3,108
5658,"LING 422","Women, Men, and the English Language","The ways men and women differ in using language in varied settings and the ways in which language both creates and reflects gender divisions.","ENGL 219 or LING 219",3,108
5659,"LING 425","Second Language Learning and Teaching","The process of second language learning and principles and techniques of teaching second languages. Learning and teaching in specific situations and for particular purposes. Current applications of technology in teaching and assessment.","ENGL 219 or LING 219; junior classification",3,108
5660,"LING 437","Grammatical Analysis","Theories and methods for analysis of syntax and morphology.","ENGL 220 or LING 220; ENGL 219 or LING 219 or introductory course in linguistics; junior classification",3,108
5661,"LING 462","Contrastive Analysis of Spanish/ English for Translators","Linguistic study of the major differences between the Spanish and English grammatical systems and their applications in the translation of Spanish to English. Taught in Spanish.","SPAN 351",3,108
5662,"LING 463","Hispanic Dialectology","Intensive study of the phonology, morphosyntax and lexicon of the Hispanic dialects of Spain and Latin America in their historical context. Taught in Spanish.","SPAN 352",3,108
5663,"LING 471","Language and Reading Development in Children","Theories and developmental processes related to the components of language(semantics, syntax, morphology, phonology, and pragmatics); the development of metalinguistic knowledge; theories and developmental processes of reading.","CMDIS 275 or PSYCH 230 or ENGL 219 or LING 219",3,108
5664,"LING 480A","Topics in Communication Disorders: Anatomy and Physiology of Speech and Hearing","Guided examination of topics in preparation for graduate work in Speech-Language Pathology or Audiology. Primary course delivery by WWW.","CMDIS/LING 275, CMDIS/LING 371, and BIOL 255; permission of instructor.",3,108
5665,"LING 480B","Topics in Communication Disorders: Articulation and Phonological Disorders","Guided examination of topics in preparation for graduate work in Speech-Language Pathology or Audiology. Primary course delivery by WWW.","CMDIS/LING 275, CMDIS/LING 371, and BIOL 255; permission of instructor.",3,108
5666,"LING 480C","Topics in Communication Disorders: Evaluation and diagnosis of communication disorders","Guided examination of topics in preparation for graduate work in Speech-Language Pathology or Audiology. Primary course delivery by WWW.","CMDIS/LING 275, CMDIS/LING 371, and BIOL 255; permission of instructor.",3,108
5667,"LING 486","Methods in Elementary School World Language Instruction","Planning, implementation, and assessment of standards-based, student-centered, and thematic instruction in the elementary (K-8) classroom.  Special emphasis on K-8 students' communicative skills, cultural knowledge, and content learning.","25 credits in a world language",3,108
